Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Health Services,Allied Health,Brisbane Child Psychologist,Dr Natalie Gunn is an educational and developmenta,http://www.hartleypsych.com.au,(07) 3105 5937,392 Example Street,RED HILL,QLD,4059,-27.455,153.006
Health Services,Allied Health,Centacare - Aspley Respite Centre,"Centre Based Day Care, Domestic Assistance, Allied",http://centacarebrisbane.net.au/,1300 236 822,393 Example Street,ASPLEY,QLD,4034,-27.366,153.034
Health Services,Allied Health,Centacare - Enoggera Day Respite Centre,"Centre Based Day Care, Domestic Assistance, Allied",http://www.centacarebrisbane.net.au/,1300 236 822,394 Example Street,ENOGGERA,QLD,4051,-27.415,152.99
Health Services,Allied Health,Centacare - Northgate Community Services,"Centre Based Day Care, Domestic Assistance, Case M",http://www.centacarebrisbane.net.au,1300 236 822,395 Example Street,NORTHGATE,QLD,4013,-27.397,153.073
Health Services,Allied Health,Centre For Integrative Health,A multidisciplinary clinic devoted to the preventi,http://cfih.com.au/,(07) 3161 0845,396 Example Street,SPRING HILL,QLD,4000,-27.464,153.026
Health Services,Allied Health,Children By Choice Association Incorporated,Children by Choice provide a Queensland-wide telep,http://www.childrenbychoice.org.au,(07) 3357 5377,397 Example Street,WINDSOR,QLD,4030,-27.434,153.031
Health Services,Allied Health,Children's Health QLD Hospital and Health Service,Provides Clinical Nurse Consultant across various ,,,398 Example Street,HERSTON,QLD,4029,-27.447,153.027
Health Services,Allied Health,Consentability at Iridium Health,Consentability provides sexuality and relationship,http://www.consentability.com,0406 001 166,399 Example Street,SOUTH BRISBANE,QLD,4101,-27.476,153.015
Health Services,Allied Health,CPL's Bowen Hills Disability Employment Services,Looking for a job? Or do you need local and reliab,http://www.cpl.org.au/locations-contact/locations/bowen-hills,1800 275 753,400 Example Street,BOWEN HILLS,QLD,4006,-27.442,153.039
Health Services,Allied Health,CPL's East Brisbane Disability Training,Want to start your life changing career in the dis,http://www.cpl.org.au/locations-contact/locations/east-brisbane,1800 275 753,401 Example Street,EAST BRISBANE,QLD,4169,-27.482,153.04
Health Services,Allied Health,CPL's Geebung Services,Read more about CPL's therapy and health services.,http://www.cpl.org.au/locations-contact/locations/geebung,1800 275 753,402 Example Street,GEEBUNG,QLD,4034,-27.375,153.054
Health Services,Allied Health,CPL's Holland Park Disability Employment Services,Looking for a job? Or need local and reliable staf,http://www.cpl.org.au/locations-contact/locations/holland-park,1800 275 753,403 Example Street,HOLLAND PARK WEST,QLD,4121,-27.519,153.061
Health Services,Allied Health,CPL's Mount Gravatt Services,Read more about CPL's therapy and health services.,http://www.cpl.org.au/locations-contact/locations/mount-gravatt,1800 275 753,404 Example Street,MOUNT GRAVATT EAST,QLD,4122,-27.541,153.083
Health Services,Allied Health,CQ RAICCHO,Provides Health Worker and Nurse across various re,http://www.cqraiccho.com.au/,,405 Example Street,BOWEN HILLS,QLD,4006,-27.443,153.038
Health Services,Allied Health,"Day Therapy Centre, Allied Health Services",Subsidized services / Govt Funded,http://www.prescare.org.au,(07) 3710 2318,406 Example Street,COOPERS PLAINS,QLD,4108,-27.569,153.036
Health Services,Allied Health,Deadly Ears Program - Children's Health QHHS,The award-winning Deadly Ears Program leads Queens,https://www.health.qld.gov.au/deadly_ears/,(07) 3310 7709,407 Example Street,SOUTH BRISBANE,QLD,4101,-27.48,153.022
Health Services,Allied Health,Dr Brett Collins,Provides Physician - Surgery - Orthopaedics across,,(07) 3834 6635,408 Example Street,SPRING HILL,QLD,4000,-27.465,153.022
Health Services,Allied Health,Dr Farhan Syed T/A Syed Cardiology Pty Ltd as trustee for Syed Cardiology Trust,Provides Physician - Cardiology across various reg,,,409 Example Street,CHERMSIDE,QLD,4032,-27.385,153.029
Health Services,Allied Health,Dr Fiona Frances Panizza,Provides Physician - Ear Nose & Throat across vari,,,410 Example Street,SPRINGHILL,QLD,4000,-27.46,153.026
Health Services,Allied Health,Dr Katherine Smallcombe,Provides Physician - Ophthalmology across various ,,(07) 3063 1600,411 Example Street,PADDINGTON,QLD,4064,-27.461,153.002
Health Services,Allied Health,Dr Mark Norrie,Provides Physician - Gastroenterology across vario,https://www.montserrat.com.au/mark-norrie.html,(07) 3833 6701,412 Example Street,INDOOROOPILLY,QLD,4068,-27.502,152.974
Health Services,Allied Health,Dr Matthew Broadhurst,Provides Physician - Surgery - Ear Nose & Throat a,,(07) 3831 2222,413 Example Street,SPRING HILL,QLD,4000,-27.461,153.021
Health Services,Allied Health,Dr Rowan Porter,Provides Optometry and Physician - Ophthalmology a,,,414 Example Street,MOUNT GRAVATT,QLD,4122,-27.54,153.068
Health Services,Allied Health,Dr Russell Bird,Provides Physician - Surgery - Ear Nose & Throat a,,(07) 3832 5144,415 Example Street,SPRING HILL,QLD,4000,-27.465,153.023
Health Services,Allied Health,Dr Simon Bowler,Provides Physician - Respiratory across various re,http://www.materonline.org.au/specialist/respiratory-and-sleep-medicine/dr-simon-bowler,(07) 3163 1178,416 Example Street,SOUTH BRISBANE,QLD,4101,-27.484,153.027
Health Services,Allied Health,Dr Simon F Journeaux,Provides Physician - Surgery - Orthopaedics across,,(07) 3010 5760,417 Example Street,SOUTH BRISBANE,QLD,4101,-27.484,153.028
Health Services,Allied Health,Dr Wayne Thomas Kelly,Provides Physician - Respiratory across various re,,(07) 3839 0325,418 Example Street,BRISBANE CITY,QLD,4001,-27.461,153.021
Health Services,Allied Health,Dynamic Self Psychology Service,Dynamic Self Psychology Service offers therapeutic,http://www.dynamicself.com.au,0490 468 984,419 Example Street,SPRING HILL,QLD,4000,-27.464,153.025
Health Services,Allied Health,ERG Pty Ltd T/As Brisbane Eye Clinic,Provides Physician - Ophthalmology and Ophthalmolo,,(07) 3832 1700,420 Example Street,SPRING HILL,QLD,4000,-27.464,153.025
Health Services,Allied Health,Health and Home Safety Group - Brisbane and Ipswich,Health and Home Safety Group provides a mobile Occ,http://www.healthandhomesafetygroup.com.au,0422 552 976,421 Example Street,,,,-27.519,153.038
Health Services,Allied Health,Heart of Australia  - Queensland,Provides Physician - Cardiology and Sonography acr,http://www.heartofaustralia.com/,1800 432 786,422 Example Street,,,,-27.491,152.982
Health Services,Allied Health,I G Brown Medical Pty Ltd,Provides Physician - Respiratory across various re,,(07) 3832 1717,423 Example Street,SPRING HILL,QLD,4000,-27.464,153.025
Health Services,Allied Health,Institute for Urban Indigenous Health Ltd,Provides Diabetes Education and Occupational Thera,http://www.iuih.org.au/,(07) 3648 9500,424 Example Street,BOWEN HILLS,QLD,4006,-27.446,153.037
Health Services,Allied Health,Joining Hands,Joining Hands is a social enterprise. We exist to ,http://www.joininghands.com.au,0431 436 939,425 Example Street,,,,-27.493,153.076
Health Services,Allied Health,Jubilee Community Care Association Inc,Jubilee Community Care provides care and assistanc,http://www.jccagedcare.org.au,(07) 3871 3220,426 Example Street,INDOOROOPILLY,QLD,4068,-27.5,152.978
Health Services,Allied Health,KNOTS CORNER MASSAGE CLINIC - Greenslopes,"Remedial massage and sports massage clinic
Knotsc",,0409 675 860,427 Example Street,GREENSLOPES,QLD,4120,-27.499,153.047
Health Services,Allied Health,Lifestyle Therapies and Training Solutions (LTTS),Provides Occupational Therapy and Speech Pathology,,1300 994 854,428 Example Street,ENOGGERA,QLD,4051,-27.418,152.997
Health Services,Allied Health,Metro North Hospital and Health Service (ICOP),Provides Nurse - Cardiology and Physician - Cardio,,,429 Example Street,CHERMSIDE,QLD,4032,-27.385,153.029
Health Services,Allied Health,Metro North Hospital and Health Service (IROC),Provides Nurse - Respiratory and Scientist - Respi,,,430 Example Street,CHERMSIDE,QLD,4032,-27.385,153.029
Health Services,Allied Health,Metro South Hospital and Health Service (Princess Alexandra Hospital),Provides Physician - Cardiology and Nurse - Cardio,,(07) 3176 2111,431 Example Street,WOOLLOONGABBA,QLD,4102,-27.497,153.033
Health Services,Allied Health,Michael Young Optometrists,Provides Optometry across various regions of Queen,,(07) 3245 5510,432 Example Street,CHANDLER,QLD,4155,-27.517,153.157
Health Services,Allied Health,OCCUPATIONAL THERAPY AT HOME,Occupational Therapy at Home provides a mobile hom,http://www.otathomebrisbane.com.au,0415 562 360,433 Example Street,SINNAMON PARK,QLD,4073,-27.547,152.943
Health Services,Allied Health,Prime Foot Care Provider Pty Ltd,Prime Foot Care Provider is a mobile podiatry serv,http://www.primefootcare.com.au,(07) 3356 3579,434 Example Street,NEWMARKET,QLD,4051,-27.438,153.006
Health Services,Allied Health,Psychology Consultants - Newmarket,Psychology Consultants are a group of Clinical Psy,http://www.psychologyconsultants.com.au,(07) 3356 8255,435 Example Street,NEWMARKET,QLD,4051,-27.437,153.007
Health Services,Allied Health,QLD Speech Pathology Services,At Queensland Speech Pathology Services our aim is,http://www.speechtherapistqld.com.au/,(07) 3367 2058,436 Example Street,BARDON,QLD,4065,-27.461,152.982
Health Services,Allied Health,Queensland Alliance for Mental Health (QAMH),The Queensland Alliance advocates for community se,http://www.qldalliance.org.au,(07) 3252 9411,437 Example Street,STONES CORNER,QLD,4120,-27.504,153.047
Health Services,Allied Health,Queensland Sleep Disorder Unit,Provides Scientist - Respiratory across various re,,(07) 3846 7955,438 Example Street,SOUTH BRISBANE,QLD,4101,-27.484,153.027
Health Services,Allied Health,Queensland Spinal Cord Injuries Service - Spinal Injuries Unit,The Queensland Spinal Injuries Unit provides acute,http://www.health.qld.gov.au/qscis/,(07) 3176 5061,439 Example Street,WOOLLOONGABBA,QLD,4102,-27.499,153.033
Health Services,Allied Health,Queensland Spinal Cord Injuries Service - Spinal Outreach Team,The Spinal Outreach Team (SPOT) provides allied he,http://www.health.qld.gov.au/qscis/,1800 624 832,440 Example Street,BURANDA,QLD,4102,-27.572,152.957
Health Services,Allied Health,Queensland Spinal Cord Injuries Service - Transitional Rehabilitation Program,The Transitional Rehabilitation Program (TRP)  ass,http://www.health.qld.gov.au/qscis/,(07) 3406 2322,441 Example Street,BURANDA,QLD,4102,-27.572,152.957
Health Services,Allied Health,QUT Health Clinics - Optometry,Provides Optometry across various regions of Queen,,(07) 3138 9777,442 Example Street,KELVIN GROVE,QLD,4059,-27.453,153.013
Health Services,Allied Health,Reclaim Health and Rehabilitation,"We believe in order to treat, fix or cure our clie",http://www.reclaimhealthandrehab.com.au/,0401 487 760,443 Example Street,MIDDLE PARK,QLD,4074,-27.554,152.923
Health Services,Allied Health,Royal Flying Doctor Service of Australia (Queensland Section),Provides doctors and nurses  - health worker acros,https://www.flyingdoctor.org.au,(07) 3860 1100,444 Example Street,BRISBANE AIRPORT,QLD,4008,-27.374,153.123
Health Services,Allied Health,South West Brisbane Community Options - Jamboree Heights,South West Brisbane Community Options is a Other A,,(07) 3376 4841,445 Example Street,JAMBOREE HEIGHTS,QLD,4074,-27.556,152.939
Health Services,Allied Health,Spot4You & Spot4Kids - Speech Pathology & Occupational Therapy Brisbane,Speech Pathology & Occupational Therapy,http://www.spot4you.com.au,1300 776 849,446 Example Street,,,,-27.471,153.023
Health Services,Allied Health,Swallowing Solutions,Swallowing Solutions is based on Brisbane's west s,,0413 374 490,447 Example Street,,,,-27.474,152.996
Health Services,Allied Health,The Hearing Voices Group - Mt Gravatt,Please contact for more information.,,(07) 3343 9282,448 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.556,153.084
Health Services,Allied Health,Tina Sarracino exercise physiology,Group or individual exercise for over 60's with an,,0439 732 867,449 Example Street,TOOWONG,QLD,4066,-27.484,152.988
Health Services,Allied Health,Transitional Support - Counselling & Career Services,"Transitional Support, an organisation that provide",http://transitionalsupport.com.au,1800 744 568,450 Example Street,SUMNER,QLD,4074,-27.567,152.938
Health Services,Allied Health,True Relationships & Reproductive Health - Windsor,Provides Nurse - Womens Health across various regi,http://www.true.org.au,(07) 3250 0240,451 Example Street,WINDSOR,QLD,4030,-27.434,153.03
Health Services,Allied Health,Vitiligo Solutions Clinic,Need a Vitiligo cure? At the Vitiligo Solutions Cl,http://www.vitiligosolutions.com.au/,(07) 3871 3437,452 Example Street,TARINGA,QLD,4068,-27.492,152.979
Health Services,Allied Health,Wynnum Health Service,Hospital servicesPrimary CareGeneral MedicineMedic,http://www.health.qld.gov.au/redland-wynnum/default.asp,(07) 3893 8000,453 Example Street,LOTA,QLD,4179,-27.464,153.18
Health Services,Allied Health,your health exercise physiology,Exercise Physiology Services,http://www.yhep.com.au,0401 366 713,454 Example Street,THE GAP,QLD,4061,-27.436,152.939
Health Services,Child Youth & Family Health,Children's Health QLD Hospital and Health Service,Provides Physician - Psychiatry - Child and Adoles,,,455 Example Street,HERSTON,QLD,4029,-27.447,153.027
Health Services,Child Youth & Family Health,CPL's Mount Gravatt Services,"At CPL's Mt Gravatt service, we specialise in pers",http://www.cpl.org.au/locations-contact/locations/mount-gravatt,1800 275 753,456 Example Street,MOUNT GRAVATT EAST,QLD,4122,-27.541,153.083
Health Services,Child Youth & Family Health,Dr Irene Skiathitis,Provides Physician - Paediatrics across various re,,(07) 3359 0835,457 Example Street,STAFFORD HEIGHTS,QLD,4053,-27.401,153.008
Health Services,Child Youth & Family Health,Dr Tommy Tran,Provides Physician - Paediatrics across various re,http://tommytran.com.au/,(07) 3177 2000,458 Example Street,EAST BRISBANE,QLD,4169,-27.482,153.051
Health Services,Child Youth & Family Health,Institute for Urban Indigenous Health Ltd,Provides Occupational Therapy - Paediatrics across,http://www.iuih.org.au/,(07) 3648 9500,459 Example Street,BOWEN HILLS,QLD,4006,-27.446,153.037
Health Services,Community Health & Medical,Australian Institute for Suicide Research and Prevention - Mt Gravatt,The Australian Institute for Suicide Research and ,http://www.griffith.edu.au/health/australian-institute-suicide-research-prevention,(07) 3735 3379,460 Example Street,MT GRAVATT,QLD,4122,-27.543,153.066
Health Services,Community Health & Medical,Community Health Centre - Eight Mile Plains,Community Health Services provided in the Metro So,http://www.health.qld.gov.au/services/metrosouth/emp-chc.asp,(07) 3156 9400,461 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.577,153.095
Health Services,Community Health & Medical,Community Health Centre - North West,Community Health services vary from centre to cent,,(07) 3335 8888,462 Example Street,KEPERRA,QLD,4054,-27.413,152.958
Health Services,Community Health & Medical,Continence Service - QLD,The Queensland Continence Service is a service for,,(07) 3246 3166,463 Example Street,EVERTON PARK,QLD,4053,-27.394,152.992
Health Services,Community Health & Medical,Integrate Place,Community Health & Medical,http://www.integrateplace.com.au,(07) 3396 3128,464 Example Street,WYNNUM,QLD,4178,-27.443,153.177
Health Services,Community Health & Medical,Lung Foundation Australia,Lung Foundation Australia is the only national cha,http://www.lungfoundation.com.au,1800 654 301,465 Example Street,MILTON,QLD,4064,-27.465,153.005
Health Services,Community Health & Medical,Northside Health Service District,The Northside Health Service District's new Centra,,1300 658 252,466 Example Street,FORTITUDE VALLEY,QLD,4006,-27.459,153.028
Health Services,Community Health & Medical,Principal Podiatry - Banyo,"Principal Podiatry Banyo
Experienced Podiatrist. ",http://www.principalpodiatry.com.au,(07) 3267 5473,467 Example Street,BANYO,QLD,4014,-27.376,153.075
Health Services,Community Health & Medical,Sinnamon Village Day Therapy Centre,We provide a range of vital community services and,https://www.wmq.org.au/locations/robina-service-hub,(07) 3714 5141,468 Example Street,SINNAMON PARK,QLD,4073,-27.538,152.949
Health Services,Community Health & Medical,The Prince Charles Hospital,Chermside Community Health Centre provides the fol,,(07) 3350 8111,469 Example Street,CHERMSIDE,QLD,4032,-27.392,153.028
Health Services,Community Health & Medical,Toowong Community Health Team,Community Health services vary from centre to cent,,(07) 3858 4444,470 Example Street,ASHGROVE,QLD,4060,-27.45,152.977
Health Services,Community Health & Medical,True Relationships & Reproductive Health - Windsor,Sexual and reproductive health services throughout,http://www.true.org.au,(07) 3250 0240,471 Example Street,WINDSOR,QLD,4030,-27.434,153.03
Health Services,Community Health & Medical,Vision Psychology Clinic,Brisbane psychologist and counselling centre: marr,http://www.visionpsychology.com,1800 877 924,472 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Drug & Alcohol Services,Abaleen Detoxification Services Group Inc,"Abaleen Detoxification Services offers a safe, pro",,(07) 3862 3543,473 Example Street,ALBION,QLD,4010,-27.431,153.046
Health Services,Drug & Alcohol Services,ADAWS  Adolescent Drug and Alcohol Service,Clarence Street previously known as ADAWS (Adolesc,http://youngadult@mater.org.au,(07) 3163 8400,474 Example Street,SOUTH BRISBANE,QLD,4101,-27.487,153.025
Health Services,Drug & Alcohol Services,Al Anon and Alateen Family Groups - Brisbane,The Al-Anon Family Groups are a fellowship of rela,http://www.al-anon.org.au/,(07) 3890 1244,475 Example Street,TINGALPA,QLD,4173,-27.475,153.128
Health Services,Drug & Alcohol Services,Alcoholics Anonymous - Brisbane Central Service Office,Alcoholics Anonymous is a fellowship of men and wo,http://www.aa.org.au/contact-central-service-offices.php#QLD,(07) 3255 9162,476 Example Street,ANNERLEY,QLD,4103,-27.509,153.033
Health Services,Drug & Alcohol Services,Alternatives To Violence Project Queensland Incorporated,"AVP is an independant, international network of tr",http://www.avpq.org.au,(07) 3286 2593,477 Example Street,SHERWOOD,QLD,4075,-27.531,152.983
Health Services,Drug & Alcohol Services,Bayside Transformations,Residential recovery service-faith based takes men,,(07) 4194 6621,478 Example Street,BRISBANE,QLD,4000,-27.467,153.141
Health Services,Drug & Alcohol Services,Centre for Human Potential (CFHP) Psychology and Coaching,The Centre For Human Potential has psychologists t,http://www.cfhp.com.au/,(07) 3211 1117,479 Example Street,BRISBANE,QLD,4000,-27.467,153.026
Health Services,Drug & Alcohol Services,Drug Arm - Annerley,"Alcohol and other drug program, clinical and preve",http://www.hoa.drugarm.com.au/,(07) 3620 8800,480 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,Drug & Alcohol Services,Drug Arm Helpline,Drug ARM Australasia is a not-for-profit organisat,http://www.hoa.drugarm.com.au/about-us,1300 656 800,481 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,Drug & Alcohol Services,Drug Arm SOS,DRUG ARM is a charitable organisation that assists,http://www.hoa.drugarm.com.au/,(07) 3620 8811,482 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,Drug & Alcohol Services,Gillies House,Gillies House is a halfway house for recovering al,https://www.vinnies.org.au/page/Find_Help/QLD/Housing/Mens_accommodation_-_Gillies_House_Brisbane/,(07) 3876 7329,483 Example Street,AUCHENFLOWER,QLD,4066,-27.474,153
Health Services,Drug & Alcohol Services,Harm Reduction Centre - Brisbane - BHRC,Brisbane Harm Reduction Centre is part of the Bial,,(07) 3238 4047,484 Example Street,BRISBANE,QLD,4001,-27.466,153.016
Health Services,Drug & Alcohol Services,Inala Community Health Centre,"Alcohol, Tobacco and Other DrugsBreastScreenChild ",http://www.health.qld.gov.au/services/metrosouth/inala-chc.asp,(07) 3275 5333,485 Example Street,INALA,QLD,4077,-27.6,152.971
Health Services,Drug & Alcohol Services,Integrate Place,Drug & Alcohol Services,http://www.integrateplace.com.au,(07) 3396 3128,486 Example Street,WYNNUM,QLD,4178,-27.443,153.177
Health Services,Drug & Alcohol Services,Ipswich Clinic,"Service Method: Direct Services, Methadone Program",,(07) 3817 2501,487 Example Street,IPSWICH,QLD,4305,-27.494,153.034
Health Services,Drug & Alcohol Services,Kids in Mind - Adolescent Drug and Alcohol Withdrawal Service - South Brisbane,The Adolescent Drug and Alcohol Withdrawal Service,http://www.kidsinmind.org.au/adaws,(07) 3163 8400,488 Example Street,SOUTH BRISBANE,QLD,4101,-27.487,153.025
Health Services,Drug & Alcohol Services,Lives Lived Well,We run a range of community and residential progra,http://www.liveslivedwell.org.au,1300 727 957,489 Example Street,SPRING HILL,QLD,4000,-27.461,153.024
Health Services,Drug & Alcohol Services,Mental Health Alcohol Tobacco and Other Drugs Service (MHATODS),MHATODS offers an integrated mental health and dru,,(07) 3310 9444,490 Example Street,SOUTH BRISBANE,QLD,4101,-27.48,153.022
Health Services,Drug & Alcohol Services,Ozcare - Illicit Drug & Alcohol Detox Centre,A live-in detox centre for men over 18 years who a,http://www.ozcare.org.au/,1800 692 273,491 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Health Services,Drug & Alcohol Services,Ozcare Drug & Alcohol Residential Recovery Service (Men) - The Haven,A residential service for men over 18 that have st,http://www.ozcare.org.au,1800 692 273,492 Example Street,,,,-27.5,153.056
Health Services,Drug & Alcohol Services,Ozcare Drug & Alcohol Residential Recovery Service (Women) - Lucinda House,"Ozcare is a leading not-for-profit organisation, p",http://www.ozcare.org.au,1800 692 273,493 Example Street,,,,-27.496,152.985
Health Services,Drug & Alcohol Services,Queensland Aboriginal & Islander Corp Alcohol & Drug Dependence Services,The Queensland Aboriginal and Torres Strait Island,,(07) 3358 5111,494 Example Street,NEW FARM,QLD,4005,-27.472,153.043
Health Services,Drug & Alcohol Services,Queensland AIDS Council - AIDS Information and Referral,The Queensland AIDS Council (QuAC) is an independe,http://www.qahc.org.au/contact,1800 177 434,495 Example Street,TENERIFFE,QLD,4005,-27.452,153.046
Health Services,Drug & Alcohol Services,Queensland Injectors Health Network - Bowen Hills (Mudmaps),Get back on track for the week with this Monday mo,http://www.quihn.org,(07) 3620 8111,496 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.035
Health Services,Drug & Alcohol Services,Queensland Injectors Health Network - Bowen Hills (Treehouse Program),Are you or your children affected by your drug use,http://www.quihn.org,(07) 3620 8111,497 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.035
Health Services,Drug & Alcohol Services,Quitline - Statewide,Quitline is a 24 hour information and support line,http://www.quitnow.gov.au/internet/quitnow/publishing.nsf/Content/home,13 78 48,498 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Health Services,Drug & Alcohol Services,Royal Brisbane Hospital - Homeless Health Outreach Team (HHOT),The Homeless Health Outreach Team provides service,http://www.health.qld.gov.au/rbwh/services/mh-services.asp,,499 Example Street,,,,-27.47,153.023
Health Services,Drug & Alcohol Services,Salvation Army - Red Hill (Moonyah),Moonyah is the Brisbane centre for the Salvation A,,(07) 3369 0922,500 Example Street,RED HILL,QLD,4059,-27.448,153.001
Health Services,Drug & Alcohol Services,Teen Challenge QLD Care - Brisbane,Teen Challenge Care Qld Ltd offers the following s,https://www.teenchallengeqld.org.au/,(07) 3422 1500,501 Example Street,GAYTHORNE,QLD,4051,-27.412,152.981
Health Services,Drug & Alcohol Services,Vision Psychology Clinic,Brisbane psychologist and counselling centre: marr,http://www.visionpsychology.com,1800 877 924,502 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Drug & Alcohol Services,White Warriors - Brisbane,We offer unique and creative support for anyone lo,,0438 548 732,503 Example Street,,,,-27.471,153.023
Health Services,Drug & Alcohol Services,Wynnum Health Service,Hospital servicesPrimary CareGeneral MedicineMedic,http://www.health.qld.gov.au/redland-wynnum/default.asp,(07) 3893 8000,504 Example Street,LOTA,QLD,4179,-27.464,153.18
Health Services,General Health Services,Ablecare Health and Integrated Therapy,AbleCare provides a functional holistic programme ,,(07) 3359 8330,505 Example Street,STAFFORD HEIGHTS,QLD,4053,-27.393,153.011
Health Services,General Health Services,Adverse Medicine Events Line,The Adverse Medicine Events (AME) Line provides co,https://www.nps.org.au/,1300 134 237,506 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Health Services,General Health Services,Alzheimers Association Of Queensland - Wooloowin,The Alzheimers Association of Queensland operates ,http://www.alzheimersonline.org,1800 639 331,507 Example Street,WOOLOOWIN,QLD,4030,-27.417,153.04
Health Services,General Health Services,Anglicare Southern Queensland,Anglicare Southern Queensland is a proud member of,http://www.anglicaresq.org.au,1300 610 610,508 Example Street,BRISBANE,QLD,4000,-27.463,153.03
Health Services,General Health Services,Aquarius Health Medispa,Aquarius Health Medispa is a Multi-Award winning h,https://aquariushealthmedispa.com.au,(07) 3003 4000,509 Example Street,BRISBANE CITY,QLD,4000,-27.472,153.026
Health Services,General Health Services,Arthritis Friendship Group,The Arthritis Friendship Group (formerly known as ,,(07) 3396 0196,510 Example Street,MANLY,QLD,4179,-27.45,153.183
Health Services,General Health Services,Arthritis Queensland Telephone Information Service,Arthritis and Osteoporosis Queensland provides an ,http://www.arthritis.org.au,1800 011 041,511 Example Street,WINDSOR,QLD,4030,-27.437,153.031
Health Services,General Health Services,Asthma Foundation Queensland - Brisbane,The Asthma Foundation of Queensland offers a varie,http://www.asthmaaustralia.org.au,(07) 3252 7677,512 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.031
Health Services,General Health Services,Australian Hearing - Brisbane,Australian Hearing is a provider of hearing care a,http://www.hearing.com.au,(07) 3237 6800,513 Example Street,BRISBANE,QLD,4000,-27.466,153.027
Health Services,General Health Services,Australian Hearing - Mount Gravatt,Australian Hearing is a provider of hearing care a,http://www.hearing.com.au,(07) 3347 4200,514 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.56,153.082
Health Services,General Health Services,Australian Lifesaving Academy Queensland,Australian Lifesaving Academy Queensland is a regi,http://www.alaq.com.au/,(07) 3846 8047,515 Example Street,SOUTH BRISBANE,QLD,4101,-27.475,153.014
Health Services,General Health Services,Australian Putuitary Foundation Ltd,"Pituitary disorders affect more than 20,000 Austra",http://www.pituitary.asn.au,1300 331 807,516 Example Street,,,,-27.542,152.933
Health Services,General Health Services,Bikram Yoga Brisbane South,Bikram Yoga Brisbane South is a Yoga center and te,http://www.bikramyogabrisbanesouth.com,0439 419 480,517 Example Street,SALISBURY,QLD,4107,-27.543,153.029
Health Services,General Health Services,Brain Tumour Support Group,The Brain Tumour Support Group is a diverse group ,,(07) 3348 4614,518 Example Street,MOUNT GRAVATT,QLD,4122,-27.552,153.072
Health Services,General Health Services,Breast and Prostate Cancer Association of Queensland - Head Office,The Breast Cancer Association of Qld is a charity ,http://www.bcaq.com,(07) 3666 0614,519 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.03
Health Services,General Health Services,BreastScreen - QLD - Brisbane North,BreastScreen Queensland Brisbane Northside Service,http://www.breastscreen.qld.gov.au,(07) 3350 6022,520 Example Street,CHERMSIDE,QLD,4032,-27.384,153.023
Health Services,General Health Services,BreastScreen - QLD - Brisbane Southside Service,BreastScreen Qld Services are part of the BreastSc,http://www.breastscreen.qld.gov.au,(07) 3182 6777,521 Example Street,NATHAN,QLD,4111,-27.558,153.049
Health Services,General Health Services,Cancer Council 13 11 20 - Statewide,The Cancer Helpline is the specialised telephone i,http://www.cancerqld.org.au,13 11 20,522 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.029
Health Services,General Health Services,Casaurina Lodge,Casuarina Lodge is made up of two units Jasmine an,http://www.health.qld.gov.au/redland-wynnum/services/casuarina.asp,(07) 3893 8437,523 Example Street,WYNNUM WEST,QLD,4178,-27.451,153.153
Health Services,General Health Services,Centacare - Northgate Community Services,NECC supports people living in the community of No,http://www.centacarebrisbane.net.au,1300 236 822,524 Example Street,NORTHGATE,QLD,4013,-27.397,153.073
Health Services,General Health Services,Central Referral Hub,"GP Liaison, Central Referral Hub, Community Referr",http://www.health.qld.gov.au/metrosouth/specialty/central-referral-hub.asp,1300 364 155,525 Example Street,,,,-27.575,153.087
Health Services,General Health Services,Central Referral Hub - Primary Care Partnership Unit,"GP Liaison, Central Referral Hub",http://www.health.qld.gov.au/metrosouth/specialty/central-referral-hub.asp,1300 364 155,526 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.575,153.087
Health Services,General Health Services,Children By Choice Association Incorporated,Children by Choice provide a Queensland-wide telep,http://www.childrenbychoice.org.au,(07) 3357 5377,527 Example Street,WINDSOR,QLD,4030,-27.434,153.031
